GEOID_FIN,federal_transfers_real_2017,POPULATION,ID_NAME,STATE_FIPS,COUNTY_FIPS,tax_revenue_real_2017,B_B01,B_B21,B_B22,B_B30,B_B42,B_B46,B_B50,B_B79,B_B80,B_B89,T_T01,T_T09,T_T10,T_T13,T_T16,T_T19,T_T20,T_T22,T_T28,T_T29,YEAR,decade,federal_transfers_pc,tax_revenue_pc,log_transfers_pc,log_tax_pc
0101228,9296.848368403113,2567.0,ALICEVILLE,01,054,593448.820849732,,,,,,,9296.848368403113,,,,426105.550218476,167343.27063125602,,,,,,,,,2002,2000,3.6216783671223656,231.18380243464435,1.2869375557177243,5.443213075670315
0102428,35637.91874554526,772.0,ARITON,01,023,144101.14971024822,,,,,,,,,,35637.91874554526,29440.01983327652,94517.9584120983,,,,20143.17146487341,,,,,2002,2000,46.163107183348785,186.65952035006248,3.832180933265183,5.229286210489289
0102956,320741.26870990737,18967.0,ATHENS,01,042,12541448.448975798,,,,,,48033.716570082746,,,,272707.5521398246,2018965.5706715425,9138801.94614026,,347082.33908704954,171991.69481545757,864606.8982614895,,,,,2002,2000,16.910490257284092,661.2246770167026,2.827934154641856,6.494093686812298
0103004,731352.0716477114,7676.0,ATMORE,01,027,6139018.872602188,,,,144101.14971024822,,,,,,587250.9219374632,1050543.8656295517,4459388.26737736,150299.04862251697,364126.56109578855,35637.91874554526,79023.21113142645,,,,,2002,2000,95.27775816150488,799.7679615166999,4.5567963958187745,6.684321637491715
0104684,123957.97824537483,2313.0,BAYOU LA BATRE,01,049,2187858.3160308655,,,,,,,,,,123957.97824537483,128606.40242957638,2059251.9136012893,,,,,,,,,2002,2000,53.59186262229781,945.8963752835563,3.981397239803252,6.8521330231825575
0105164,38736.86820167963,214.0,BELK,01,029,12395.797824537483,,,,,,,,,,38736.86820167963,,12395.797824537483,,,,,,,,,2002,2000,181.01340281158707,57.92428889970787,5.198571077207159,4.059136794018794
0105932,55781.090210418675,1238.0,BERRY,01,029,312993.89506957144,,,,55781.090210418675,,,,,,,29440.01983327652,283553.87523629493,,,,,,,,,2002,2000,45.05742343329457,252.8222092645973,3.807937752572378,5.532686511517473
0105980,2745669.2181350524,29672.0,BESSEMER,01,037,29523691.46859215,,,,,,,2243639.406241284,,,502029.811893768,6986581.548854939,19988223.992066693,636834.1132356132,636834.1132356132,319191.7939818402,956025.9072174534,,,,,2002,2000,92.53401247421988,995.0017345845291,4.527576279356409,6.902744480458107
0107000,18427902.940903034,242820.0,BIRMINGHAM,01,037,226055967.0271778,,,,,,,18427902.940903034,,,,65167808.11304968,160888158.91412812,,,,,,,,,2002,2000,75.8912072354132,930.9610700402677,4.329300830990088,6.836217461193622
0107672,774737.3640335926,121.0,BLUE SPRINGS,01,003,,,,,,,,,,,774737.3640335926,,,,,,,,,,,2002,2000,6402.78813250903,,8.76448882018626,
0109736,457095.04477981967,1393.0,BROOKSIDE,01,037,74374.7869472249,,,,430753.9744026775,,,,,,26341.07037714215,57330.564938485855,17044.222008739038,,,,,,,,,2002,2000,328.13714628845634,53.39180685371493,5.793431649920824,3.9776573044888948
0109808,6197.898912268742,1483.0,BROOKWOOD,01,063,582602.4977532617,,,,,,,,,,6197.898912268742,,582602.4977532617,,,,,,,,,2002,2000,4.1792979853464205,392.8540106225635,1.430143286342768,5.973438068612772
0110240,49583.19129814993,2341.0,BRUNDIDGE,01,055,841364.7773404816,,,,,,,49583.19129814993,,,,127056.9277015092,458644.51950788684,,,,255663.3301310856,,,,,2002,2000,21.1803465605083,359.4040056986252,3.0530737026696255,5.884447119803834
0111032,794880.5354984661,1952.0,BUTLER,01,012,1041247.0172611485,,,,,,,,,,794880.5354984661,102265.33205243423,938981.6852087143,,,,,,,,,2002,2000,407.21338908732895,533.4257260559162,6.009337345558541,6.279319840910921
0116684,413709.7523939385,385.0,COLONY,01,022,,,,,413709.7523939385,,,,,,,,,,,,,,,,,2002,2000,1074.5707854388013,,6.979676591473275,
