GEOID_FIN,federal_transfers_real_2017,POPULATION,ID_NAME,STATE_FIPS,COUNTY_FIPS,tax_revenue_real_2017,B_B01,B_B21,B_B30,B_B42,B_B46,B_B50,B_B59,B_B79,B_B80,B_B89,T_T01,T_T09,T_T10,T_T11,T_T13,T_T16,T_T19,T_T20,T_T21,T_T22,T_T27,T_T28,T_T29,YEAR,decade,federal_transfers_pc,tax_revenue_pc,log_transfers_pc,log_tax_pc
0100484,6000.0,741.0,ADDISON TOWN,01,133,866000.0,,,6000.0,,,,,,,,199000.0,567000.0,18000.0,,14000.0,,12000.0,,,,,52000.0,4000.0,2017,2010,8.097165991902834,1168.6909581646423,2.091514122914105,7.063639562248485
0100988,19000.0,21462.0,ALBERTVILLE CITY,01,095,15894000.0,,,,,19000.0,,,,,,2719000.0,10977000.0,289000.0,,293000.0,110000.0,488000.0,1000.0,,,,974000.0,43000.0,2017,2010,0.8852856210977542,740.5647190383003,-0.12184495033849517,6.607413028995189
0101852,1057000.0,22347.0,ANNISTON CITY,01,015,35177000.0,174000.0,,,,,883000.0,,,,,5698000.0,23361000.0,193000.0,,794000.0,386000.0,,,,,,4745000.0,,2017,2010,47.29941379156039,1574.1262809325638,3.856497902007989,7.3614556550682755
0102116,197000.0,8295.0,ARAB CITY,01,095,11644000.0,,,,,,,,,,197000.0,647000.0,8682000.0,519000.0,,135000.0,178000.0,19000.0,7000.0,,,,1434000.0,23000.0,2017,2010,23.74924653405666,1403.7371910789632,3.1675508050955807,7.246893381223106
0102500,3000.0,352.0,ARLEY TOWN,01,133,411000.0,,,3000.0,,,,,,,,94000.0,269000.0,9000.0,,7000.0,,5000.0,,,,,25000.0,2000.0,2017,2010,8.522727272727273,1167.6136363636363,2.1427363920521496,7.062717317880274
0102836,55000.0,2158.0,ASHFORD TOWN,01,069,375000.0,,,,,55000.0,,,,,,74000.0,74000.0,46000.0,,2000.0,27000.0,,46000.0,,,106000.0,,,2017,2010,25.486561631139946,173.77201112140872,3.238151318396528,5.157744159134468
0102860,297000.0,1983.0,ASHLAND CITY,01,027,1387000.0,,,,,297000.0,,,,,,168000.0,955000.0,8000.0,,22000.0,6000.0,,3000.0,,,,,225000.0,2017,2010,149.7730711043873,699.4452849218357,5.009121289265041,6.550287570777173
0103076,685000.0,62059.0,AUBURN CITY,01,081,91704000.0,,,,,,656000.0,,,,29000.0,23782000.0,39673000.0,777000.0,,383000.0,69000.0,3107000.0,,,,,11561000.0,12352000.0,2017,2010,11.037883304597239,1477.6905847661096,2.401333292810422,7.298235732343042
0104900,2000.0,285.0,BEATRICE TOWN,01,099,332000.0,,,2000.0,,,,,,,,76000.0,218000.0,7000.0,,5000.0,,4000.0,,,,,20000.0,2000.0,2017,2010,7.017543859649122,1164.9122807017543,1.9484132792734319,7.060401067629975
0104948,2000.0,187.0,BEAVERTON TOWN,01,075,220000.0,,,2000.0,,,,,,,,50000.0,144000.0,5000.0,,4000.0,,3000.0,,,,,13000.0,1000.0,2017,2010,10.695187165775401,1176.4705882352941,2.369793842687496,7.070274208479912
