Table 3.9.4. Price Indexes for Government Consumption Expenditures and Gross Investment
Table 3.9.4. Price Indexes for Government Consumption Expenditures and Gross Investment
"Last Revised on: March 13, 2026 - Next Release Date April 9, 2026"
Line,,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"        Government consumption expenditures and gross investment",4.986,4.834,4.596,4.177,4.281,4.602,4.643,4.820,4.912,4.931,4.850,4.803,5.105,5.167,5.163,5.098,5.151,6.531,7.124,7.410,7.615,7.689,8.161,8.330,8.423,8.601,8.936,9.416,9.825,10.125,10.250,10.362,10.541,10.738,10.999,11.288,11.594,12.056,12.468,13.136,13.907,15.016,16.206,17.432,18.623,20.412,22.297,23.522,24.977,26.629,28.820,31.802,34.959,37.336,38.781,40.464,41.718,42.418,43.564,45.004,46.723,48.682,50.450,51.978,53.203,54.613,56.163,57.314,58.439,59.433,61.422,64.059,65.909,67.610,70.091,73.016,76.726,80.063,83.653,87.213,86.836,89.149,91.861,93.460,95.634,97.578,97.581,97.766,100.000,103.619,105.155,107.425,113.177,121.386,124.745,127.775,132.231
2,"            Consumption expenditures1",3.851,3.782,3.684,3.476,3.463,3.652,3.719,3.824,3.884,3.916,3.860,3.799,3.973,4.009,3.973,4.039,4.233,5.556,6.017,6.210,6.430,6.529,6.821,6.960,7.101,7.324,7.667,8.005,8.358,8.709,8.830,8.980,9.179,9.372,9.660,9.984,10.318,10.795,11.219,11.894,12.601,13.630,14.761,15.875,16.979,18.434,20.132,21.339,22.744,24.285,26.308,29.053,31.961,34.156,35.599,37.391,38.818,39.659,40.948,42.403,44.196,46.274,48.199,49.962,51.165,52.565,54.013,55.237,56.444,57.543,59.704,62.549,64.625,66.585,69.461,72.551,76.235,79.585,83.085,86.808,86.111,88.854,91.682,93.192,95.599,97.600,97.494,97.631,100.000,103.858,105.259,107.864,113.956,121.877,125.099,128.424,133.245
3,"            Gross investment2",10.183,9.591,8.639,7.123,7.978,9.119,8.945,9.520,9.774,9.711,9.508,9.559,10.490,10.654,10.759,10.130,9.422,10.264,11.761,12.718,12.706,12.592,14.025,14.329,14.147,14.076,14.323,15.473,16.116,16.156,16.294,16.250,16.345,16.565,16.727,16.884,17.090,17.508,17.886,18.530,19.577,21.023,22.420,24.137,25.676,29.112,31.824,33.021,34.600,36.687,39.586,43.564,47.765,50.897,52.245,53.313,53.760,53.858,54.416,55.799,57.202,58.661,59.768,60.292,61.600,63.036,65.019,65.833,66.593,67.119,68.364,70.127,71.043,71.691,72.610,74.888,78.698,81.988,85.931,88.868,89.736,90.351,92.601,94.561,95.765,97.468,97.929,98.310,100.000,102.680,104.742,105.722,110.158,119.496,123.382,125.306,128.432
4,"                Structures",3.503,3.288,2.944,2.365,2.727,3.176,3.071,3.329,3.417,3.404,3.325,3.331,3.636,4.252,4.586,4.473,4.554,5.106,6.080,6.756,6.658,6.413,7.362,7.590,7.563,7.343,7.347,8.048,8.418,8.344,8.344,8.242,8.245,8.409,8.541,8.658,8.889,9.268,9.573,10.036,10.771,11.727,12.684,13.449,14.647,17.394,19.266,19.652,20.457,21.668,23.866,26.859,29.866,31.828,32.197,32.524,33.133,34.169,35.535,36.641,37.725,39.016,39.629,39.878,40.918,42.166,43.986,45.354,46.964,48.414,50.240,52.462,54.283,55.787,57.116,60.398,66.324,71.932,78.529,82.712,84.360,84.541,87.435,90.683,92.759,95.095,96.322,97.295,100.000,104.365,108.207,110.012,118.145,134.288,141.213,143.027,147.087
5,"                Equipment",29.701,28.930,27.103,26.655,25.763,26.708,28.555,27.154,27.830,27.137,27.012,27.944,31.340,27.449,26.848,24.942,22.888,25.356,28.769,30.510,31.223,32.331,34.674,35.088,34.143,34.824,36.165,39.106,40.879,41.192,41.891,41.991,42.558,43.032,43.413,43.471,43.533,44.008,44.806,45.885,47.771,50.942,53.437,65.968,65.945,68.886,74.062,79.270,83.814,89.428,92.979,98.589,106.123,112.683,116.092,117.597,115.525,110.756,107.388,107.702,109.385,111.354,112.611,113.745,115.694,117.922,118.675,117.102,113.115,109.301,107.316,105.610,102.762,100.510,99.783,99.575,99.399,98.313,97.469,97.778,97.868,97.954,99.032,99.483,99.405,100.062,99.954,99.828,100.000,100.633,101.158,101.268,104.055,110.943,114.032,116.286,119.376
6,"                Intellectual property products",11.406,10.847,10.595,10.230,9.635,9.930,9.635,9.965,10.272,10.213,10.018,9.857,9.948,11.257,12.711,14.828,14.680,14.966,16.367,16.898,16.973,17.396,18.823,19.210,19.462,19.446,19.839,20.505,20.986,21.480,21.831,22.068,22.197,22.296,22.302,22.539,22.501,22.642,22.786,23.385,24.346,25.685,27.014,27.933,29.522,32.385,34.937,36.573,38.479,40.680,43.666,47.690,51.915,55.493,57.848,60.155,61.483,62.210,63.236,65.735,67.613,69.111,71.190,71.951,73.389,74.650,77.379,77.951,78.950,79.352,80.743,83.103,83.750,83.845,84.621,85.795,87.212,88.447,90.258,92.644,92.570,94.425,96.369,97.259,98.002,99.439,99.083,98.869,100.000,101.547,102.069,102.485,103.465,107.019,108.209,110.060,112.166
7,"                    Software",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,51.227,51.950,52.437,52.324,52.666,53.731,54.431,55.415,56.354,58.294,59.887,62.625,63.507,64.209,66.619,71.206,75.703,77.571,80.435,81.568,85.965,91.082,96.890,101.281,102.886,104.484,105.155,104.532,105.627,107.514,107.045,107.139,109.306,106.066,107.392,106.848,108.785,107.775,106.268,104.627,106.202,109.344,110.158,109.228,107.024,105.384,105.255,106.005,106.311,107.481,106.577,105.023,105.240,104.737,104.242,103.448,102.300,101.158,100.000,98.261,97.102,95.336,93.147,91.990,92.273,93.248,91.925
8,"                    Research and development",9.626,9.154,8.941,8.633,8.131,8.380,8.131,8.410,8.668,8.619,8.454,8.318,8.396,9.500,10.727,12.514,12.389,12.630,13.812,14.260,14.324,14.681,15.885,16.212,16.424,16.411,16.743,17.305,17.711,18.127,18.423,18.626,18.735,18.819,18.823,19.022,18.986,19.102,19.220,19.722,20.539,21.677,22.838,23.641,25.012,27.485,29.685,31.131,32.793,34.793,37.411,40.990,44.739,47.951,50.151,52.319,53.592,54.367,55.313,57.696,59.708,61.300,63.281,64.598,66.012,67.523,70.304,71.119,72.535,73.329,74.670,76.843,77.450,77.747,79.049,80.712,82.393,83.702,85.790,88.405,88.512,91.110,93.450,94.694,95.781,97.911,97.821,97.943,100.000,103.060,104.431,105.959,108.607,114.824,116.557,118.946,123.434
9,Federal,6.230,5.953,5.914,5.620,5.662,6.040,6.082,6.615,6.704,6.786,6.670,6.458,6.831,6.792,6.732,6.616,6.668,8.730,9.394,9.367,9.735,9.851,10.248,10.364,10.445,10.694,11.208,11.751,12.265,12.747,12.856,12.945,13.097,13.279,13.610,14.032,14.380,14.865,15.197,15.962,16.786,18.109,19.590,21.316,22.800,24.620,26.785,28.451,30.201,32.239,34.664,38.013,41.563,44.501,45.977,48.003,49.022,49.255,49.597,51.215,52.646,54.272,56.224,57.660,58.918,60.539,62.413,63.455,64.436,65.260,66.872,69.115,70.395,72.669,75.849,78.458,81.723,84.327,86.829,89.472,89.279,91.394,93.900,94.783,95.597,97.215,97.609,98.205,100.000,102.775,104.352,105.423,108.918,115.194,120.003,123.896,130.361
